Taxa	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19	PC20	PC21	PC22	PC23
1168	20.667694	-8.914272	33.39377	7.2282515	11.777799	0.582102	2.8420212	2.765577	4.7228603	-0.81365675	-2.3006692	2.1729598	0.26019686	1.1696204	0.9874252	-0.850606	-1.5032822	1.0569474	-0.5266818	-0.15918683	-1.1432257	0.27304998	0.34709123
1189	16.555601	-1.9664923	13.20804	0.20054771	-9.1666	-4.7199516	7.1818957	-6.1316366	-16.039087	-7.378058	7.2734017	-11.40611	2.3347838	-1.8654801	-4.3174233	0.19469401	1.7352974	-10.337605	5.49459	18.60672	-10.976916	3.8500233	13.305972
1818	19.215256	-2.828524	-9.705841	-7.4884534	6.0342674	0.4691675	3.726509	-0.06584034	-3.291667	0.3381543	1.6720251	0.48848394	0.72529846	1.7862191	-2.934736	1.935704	-7.352848	-0.8916643	0.94200134	-1.462829	-5.9770217	0.5083016	1.5057603
33a	15.301321	-4.609137	6.600235	1.6402373	-0.3883552	3.399762	-10.719273	-6.3323417	-4.5364604	14.159756	15.745705	-3.185872	3.199692	-3.742564	-5.670981	3.3503168	2.861219	-10.949734	-7.1397767	-1.6779523	-0.26512036	1.9199072	-16.961346
266	10.935887	-4.6570253	-11.660632	-4.8977017	8.872079	1.5786853	-2.9746327	1.6896955	7.05501	-6.8009315	2.514496	-14.806539	-0.802776	-6.307896	9.787751	-8.307448	8.530528	-2.876077	-7.7124577	3.6347537	5.5655537	1.4787115	-6.3846087
729	17.720844	-6.638031	11.547055	2.1702256	2.924548	3.105938	-10.047692	-8.318764	-9.858197	18.492376	19.280916	-6.929887	2.115202	-4.5902867	-7.019968	0.81165266	3.5557244	-5.8654947	-1.7939322	1.6481606	-2.3017993	-0.40820557	-11.140914
801	4.744375	1.6586738	-6.038124	11.417471	-0.8372913	1.6867002	-5.534567	-3.005594	-0.99659944	-4.501936	-3.8614953	-0.4349486	2.7914996	14.160092	-6.152636	-4.4423766	-0.13863985	0.8306479	-2.1189256	0.22266605	-1.0409554	-0.15388466	-0.44129285
1046	10.48822	-1.8794173	-9.213881	-1.4176368	7.1399565	4.5760865	-7.3717284	4.5299873	15.582374	-10.915142	-1.4751912	-15.9262495	1.1280738	-5.968398	-10.087351	-1.3702017	0.90991515	4.016042	6.194738	-2.0741389	-6.250466	-0.932246	-1.7034819
1073	-16.032133	9.397639	-8.319204	23.909122	2.901405	-1.7997764	3.9899483	3.7211652	-1.7736869	-6.6531305	7.845973	10.309884	-3.984267	-16.534903	-2.0326717	4.550087	3.873573	-3.7252095	10.521888	-12.085744	-6.610101	6.4780803	-6.720008
1130	20.453964	-2.8874867	16.341896	1.5618918	-4.8037634	-1.5272769	6.3833766	-0.51152974	-3.4111102	-4.355264	-1.2393218	-2.9989607	0.0803712	0.4575933	-1.2810234	-1.6980454	-2.60614	-1.2973881	-0.40121746	2.950437	-2.6331463	2.1781945	1.8884348
