GEN	R18	R19	R20	AUDPC	LP50	IF	IT	DS	R18t	R19t	R20t	I_cc_FAI_LP	I_cc_FAI	I_cc_SH
1994	10.30	7.97	7.38	12.73	0.97	6.74	3.82	0.27	0.207984232	0.182237295	0.175168501	0.971	1.007	560.305
2029	11.04	27.44	22.35	12.71	0.97	6.70	3.90	0.27	0.215649053	0.350978625	0.313468663	0.959	0.966	556.628
2083	10.20	13.47	6.62	16.95	0.96	8.64	3.76	0.37	0.206990925	0.239249182	0.16572192	0.828	1.253	692.304
2167	14.40	15.46	4.95	9.18	0.97	5.04	3.82	0.20	0.24775136	0.257299708	0.142852524	1.146	0.820	489.279
2238	9.88	10.37	48.57	8.74	0.97	4.71	3.72	0.19	0.203507988	0.208759913	0.490925388	1.235	0.864	491.888
2326	8.91	6.42	3.80	13.74	0.97	7.27	3.75	0.29	0.192953996	0.1630585	0.124930328	0.960	1.047	589.287
2367	10.28	7.99	3.79	13.03	0.97	7.28	3.75	0.29	0.20773542	0.182384455	0.124763284	1.239	1.035	583.173
1973b	9.08	12.36	60.72	15.60	0.97	8.25	3.86	0.33	0.194812827	0.228695982	0.568752449	0.911	1.250	662.264
2448	9.32	6.52	3.41	14.13	0.96	7.24	3.75	0.31	0.197509376	0.164356104	0.118177751	0.791	1.048	597.154
2605	9.65	8.46	32.73	11.62	0.96	6.06	3.49	0.24	0.201047812	0.187866182	0.387755399	0.901	0.689	503.418
1982	9.08	6.92	5.25	13.92	0.97	7.50	3.92	0.29	0.194854113	0.169457794	0.147179261	1.055	1.188	616.702
1996	9.87	6.60	18.74	13.32	0.97	7.26	3.70	0.28	0.203484941	0.1653516	0.284979185	1.097	1.052	578.948
2036	8.83	9.10	37.12	9.08	0.97	5.06	3.37	0.20	0.192052534	0.19512927	0.417096161	1.473	0.608	467.682
2086	12.92	20.87	6.57	11.58	0.97	6.36	3.82	0.24	0.234064801	0.302074166	0.165035721	1.059	1.023	547.662
2206	10.98	8.35	5.02	8.77	0.97	4.69	3.13	0.19	0.214977542	0.186595903	0.143792858	1.259	0.379	441.529
2240	10.39	14.62	9.61	11.24	0.97	6.10	3.72	0.23	0.208912237	0.249775757	0.2006518	1.046	0.833	512.987
2328	10.81	12.12	5.40	9.44	0.97	5.06	3.71	0.21	0.213318721	0.226368953	0.149316005	1.108	0.782	495.246
2370	9.00	19.56	7.84	11.68	0.97	6.31	3.67	0.24	0.193947232	0.291661674	0.180637839	1.117	0.885	529.291
2714	9.13	10.41	12.94	9.44	0.97	4.95	3.46	0.20	0.195382816	0.209171161	0.234293411	1.157	0.680	478.915
P39	8.99	6.42	57.61	11.57	0.96	5.93	3.82	0.24	0.193818242	0.163047165	0.548638755	0.852	1.043	548.203
P52	9.75	5.79	13.97	9.56	0.97	5.25	3.83	0.20	0.202192945	0.154649435	0.243855339	1.099	0.754	484.310
P314	10.55	5.99	30.89	5.70	0.98	3.28	3.07	0.14	0.210547345	0.157419505	0.37515229	1.913	0.247	405.691
2906	9.28	33.89	6.99	19.98	0.97	11.57	3.91	0.46	0.197107321	0.395585767	0.170338393	0.707	1.621	865.068
2995	11.42	13.56	54.35	10.38	0.97	5.55	3.69	0.22	0.219426694	0.240100653	0.527746555	1.091	0.814	504.291
3030	8.02	14.27	24.28	11.88	0.97	6.54	3.92	0.24	0.182753646	0.246589089	0.328044499	1.069	1.045	552.266
3083	10.83	23.19	42.65	12.07	0.97	6.25	3.94	0.26	0.213492097	0.319864227	0.453060316	0.973	1.184	587.275
3093	11.18	15.83	55.01	14.72	0.96	7.47	3.91	0.32	0.217049257	0.260539476	0.531933203	0.749	1.221	636.514
3104	8.17	34.22	7.90	14.47	0.97	7.64	3.77	0.32	0.184528153	0.397819012	0.181404176	0.985	1.160	627.375
P14	11.05	9.48	41.26	14.67	0.97	7.74	3.93	0.33	0.215760615	0.19926796	0.444062178	0.886	1.235	655.465
P23	8.70	11.64	11.20	10.19	0.97	5.41	3.76	0.22	0.190661839	0.221690465	0.21726415	1.022	0.955	522.239
2767	12.47	5.91	19.88	10.20	0.96	5.18	3.74	0.22	0.229776778	0.156346861	0.294184892	0.848	0.875	508.824
P42	9.81	10.95	44.13	15.24	0.97	8.18	3.77	0.32	0.202857717	0.214754616	0.4625393	0.983	1.122	627.388
P54	9.36	6.21	26.71	14.36	0.96	7.28	3.76	0.31	0.197975744	0.160349195	0.345784086	0.847	1.071	606.513
P315	14.35	10.41	12.69	5.36	0.98	2.98	2.78	0.14	0.247380645	0.209157933	0.231887597	2.185	0.063	389.059
2907	14.25	10.15	52.51	14.62	0.97	7.82	3.92	0.31	0.24645177	0.206427802	0.515956791	0.926	1.193	628.104
2996	12.56	16.66	13.86	11.98	0.97	6.34	3.33	0.25	0.23062475	0.267661309	0.24281766	1.133	0.847	524.428
3033	10.99	10.45	18.36	8.62	0.97	4.87	3.84	0.18	0.215118675	0.209518181	0.281884085	1.291	0.773	479.940
3084	13.64	7.79	55.40	11.14	0.96	5.84	3.87	0.24	0.240828785	0.180069575	0.534436462	0.888	0.976	533.277
3094	31.33	18.76	57.74	10.62	0.97	5.59	3.69	0.24	0.37817948	0.285141445	0.549468634	1.103	0.918	526.817
3105	10.33	15.63	10.38	16.64	0.97	9.13	3.83	0.37	0.208311704	0.258712972	0.2088685	0.977	1.375	718.841
P16	10.24	6.04	2.91	5.52	0.97	2.90	3.31	0.15	0.207376651	0.158108876	0.109114671	1.341	0.305	415.993
P25	15.29	10.65	45.69	10.29	0.96	5.34	3.70	0.22	0.255770426	0.211678266	0.472522236	0.987	0.846	508.064
2776	10.35	16.63	13.63	13.75	0.97	7.41	3.83	0.28	0.208546027	0.267368243	0.240761408	1.038	1.074	587.567
P44	10.21	6.09	45.37	16.32	0.97	8.77	3.91	0.35	0.207083642	0.158683128	0.470476315	0.914	1.256	678.862
P60	11.52	11.98	4.47	11.01	0.97	5.88	3.65	0.24	0.22046114	0.22496301	0.135675589	1.093	0.875	520.832
P316	11.19	11.99	5.22	11.79	0.97	6.57	3.92	0.24	0.217173122	0.225074082	0.146724939	1.208	1.003	545.919
2938	12.44	10.91	2.98	16.20	0.96	8.50	3.91	0.35	0.229511846	0.214342938	0.110399473	0.842	1.301	683.690
2997	16.76	31.99	5.79	15.42	0.97	8.45	3.93	0.33	0.268496243	0.382710078	0.154735767	1.001	1.238	655.026
3034	8.90	15.02	12.32	14.28	0.97	7.98	3.92	0.30	0.192809848	0.253358835	0.228344385	1.106	1.175	617.732
3085	15.22	11.55	16.81	13.66	0.97	7.25	3.94	0.31	0.255119815	0.220757837	0.268964512	0.935	1.197	629.939
3095	8.20	30.00	18.89	16.09	0.97	8.75	3.91	0.38	0.184919371	0.369007155	0.286253885	1.000	1.334	720.767
3106	15.99	25.26	16.13	17.51	0.97	9.34	3.91	0.40	0.261907688	0.335222625	0.263068514	0.893	1.358	748.538
P17	11.96	14.85	40.77	13.55	0.97	7.30	3.94	0.28	0.224825859	0.251856606	0.440925718	1.002	1.078	586.089
P26	10.70	10.04	14.07	12.51	0.97	6.74	3.56	0.27	0.212115748	0.205259979	0.244737769	1.131	0.993	563.076
